fish_name,season,price,location,weather,start_time,end_time,size_range,difficulty,behavior,xp
Bream,Spring,45,River,Sunny,12,20,12-31,35,smooth,14
Bream,Spring,45,River,Rainy,12,20,12-31,35,smooth,14
Bream,Summer,45,River,Sunny,12,20,12-31,35,smooth,14
Bream,Summer,45,River,Rainy,12,20,12-31,35,smooth,14
Bream,Fall,45,River,Sunny,12,20,12-31,35,smooth,14
Bream,Fall,45,River,Rainy,12,20,12-31,35,smooth,14
Bream,Winter,45,River,Sunny,12,20,12-31,35,smooth,14
Bream,Winter,45,River,Rainy,12,20,12-31,35,smooth,14
Largemouth Bass,Spring,100,Mountain Lake,Sunny,0,13,11-31,50,mixed,19
Largemouth Bass,Spring,100,Mountain Lake,Rainy,0,13,11-31,50,mixed,19
Largemouth Bass,Summer,100,Mountain Lake,Sunny,0,13,11-31,50,mixed,19
Largemouth Bass,Summer,100,Mountain Lake,Rainy,0,13,11-31,50,mixed,19
Largemouth Bass,Fall,100,Mountain Lake,Sunny,0,13,11-31,50,mixed,19
Largemouth Bass,Fall,100,Mountain Lake,Rainy,0,13,11-31,50,mixed,19
Largemouth Bass,Winter,100,Mountain Lake,Sunny,0,13,11-31,50,mixed,19
Largemouth Bass,Winter,100,Mountain Lake,Rainy,0,13,11-31,50,mixed,19
Carp,Spring,30,Mountain Lake,Sunny,0,20,15-51,15,mixed,8
Carp,Spring,30,Mountain Lake,Rainy,0,20,15-51,15,mixed,8
Carp,Spring,30,Secret Woods,Sunny,0,20,15-51,15,mixed,8
Carp,Spring,30,Secret Woods,Rainy,0,20,15-51,15,mixed,8
Carp,Spring,30,The Sewers,Sunny,0,20,15-51,15,mixed,8
Carp,Spring,30,The Sewers,Rainy,0,20,15-51,15,mixed,8
Carp,Summer,30,Mountain Lake,Sunny,0,20,15-51,15,mixed,8
Carp,Summer,30,Mountain Lake,Rainy,0,20,15-51,15,mixed,8
Carp,Summer,30,Secret Woods,Sunny,0,20,15-51,15,mixed,8
Carp,Summer,30,Secret Woods,Rainy,0,20,15-51,15,mixed,8
Carp,Summer,30,The Sewers,Sunny,0,20,15-51,15,mixed,8
Carp,Summer,30,The Sewers,Rainy,0,20,15-51,15,mixed,8
Carp,Fall,30,Mountain Lake,Sunny,0,20,15-51,15,mixed,8
Carp,Fall,30,Mountain Lake,Rainy,0,20,15-51,15,mixed,8
Carp,Fall,30,Secret Woods,Sunny,0,20,15-51,15,mixed,8
Carp,Fall,30,Secret Woods,Rainy,0,20,15-51,15,mixed,8
Carp,Fall,30,The Sewers,Sunny,0,20,15-51,15,mixed,8
Carp,Fall,30,The Sewers,Rainy,0,20,15-51,15,mixed,8
